Identificacao;Data_remocao;Situacao;Descricao;Cidade;Distrito;Regiao;Fonte;Mapeamento_anterior;Justificativa;Observacao;Tipologia;Propriedade;Proprietario;Familias_ameacadas;Familias_removidas;Movimento;Zoneamento;Inicio_ocupacao;Endereco;Latitude;Longitude;Links;;;;;;;;;;;;;
COMUNIDADE DO FUNCHAL (COLISEU);28/01/2020;REMOCAO PARCIAL;Remocao parcial na favela localizada na Vila Olimpia, a prefeitura afirma que a remocao e para a construcao de 272 unidades de habitacao de interesse social. As familias removidas receberam 300,00 na mudanca e auxilio de 500,00 ate a finalizacao das obras e consequente atendimento habitacional. Moradores relataram a Ponte Jornalismo que os momentos que antecederam a reintegracao de posse foi de terror, com acoes violentas da policia militar.;SAO PAULO;ITAIM BIBI;OESTE;Clipping;;OBRAS PUBLICAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;110;160;;;;;-23.593437;-46.690618;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://ponte.org/em-seus-ultimos-dias-favela-em-bairro-rico-vira-alvo-da-violencia-policial/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
FAVELA BOCA DO RATO;24/01/2020;REMOCAO PARCIAL;Familias que estao em faixa de raio de 5m em relacao a Marginal Pinheiros. Parte delas foram removidas para execucao de obras do programa Marginal Segura. As familias que permanecem seguem ameacadas de remocao pelas intervencoes do PIU Arco Pinheiros, nao ha numero exato das familias ameadas.;SAO PAULO;JAGUARE;OESTE;Denuncia via parceiros do Observatorio de Remocoes;NAO;OBRAS PUBLICAS;Marginal Segura;EDIFICACAO;;;;70;;;;;;;;;;;;;;;;;;;;
ACAMPAMENTO DOS ENGENHEIROS;20/01/2020;REMOCAO PARCIAL;Local ja havia sido alvo de outras remocoes parciais. Dessa vez a remocao foi realizada pela Guarda Civil Municipal, nao sendo possivel identificar reunioes de planejamento e preparacao da acao, excluindo, inclusive, setores do poder publico que deveriam acompanhar e atuar a acao. Moradores afirmaram que nao foi oferecido nenhuma alternativa de atendimento habitacional por parte da prefeitura.;SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes;NAO;;;TERRENO VAZIO;;;;15;;;;;-23.7451;-46.6303;;;;;;;;;;;;;;
ANCHIETA;17/12/2019;REMOCAO TOTAL;66 familias removidas na altura do Km 24 da Rodovia Anchieta, local fica na chamada faixa de dominio da rodovia. Apos processo aberto pela Ecovias, concessionaria responsavel pelo Sistema Anchieta-Imigrantes. Segundo relatos de moradores e apoiadores 50 familias serao atendidas em empreendimento habitacional. Para as 16 restantes nao foram apresentadas alternativas de atendimento. Moradores tambem relataram que tiveram apenas um dia util para buscar abrigo em outro local.;SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;ECOVIAS;;66;;;;Rodovia Anchieta, KM 24;-23.733238;-46.544752;;;;;;;;;;;;;;
RUA DOS VIANAS;10/12/2019;REMOCAO PARCIAL;Familias na Rua dos Vianas, no municipio de Sao Bernardo do Campo, estao sendo removidas neste momento devido a execucao de obra viaria na regiao. De acordo com colaboradores da Rede Contra Remocoes do ABC, a remocao atinge um numero de familias alem do que estava planejado. A acao e realizada pela GCM e outras familias seguem ameacadas. Ate o presente momento nao foram apresentadas propostas de atendimento habitacional.;SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes - Rede Contra Remocoes ABC;NAO;OBRAS PUBLICAS;;TERRENO VAZIO;;;;66;;;;Rua dos Vianas;-23.704192;-46.535565;;;;;;;;;;;;;;
TORRINHA;02/12/2019;REMOCAO PARCIAL;Terreno abandonado ocupado desde 2016, pelo tamanho da area, se dividia em 5 localidades: Torrinha, Balanca, Casa Amarela, Cidade Alta e Terra Prometida. As duas ulitmas nao foram removidas. ;SAO PAULO;TREMEMBE;NORTE 1;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;Caso acompanhado pela Defensoria Publica do Estado de Sao Paulo;TERRENO VAZIO;PRIVADA;;;1200;;;2016;Av. Coronel Sezefredo Fagundes, 5294;-23.439206;-46.591482;;;;;;;;;;;;;;
DUQUE DE CAXIAS 825;27/10/2019;REMOCAO TOTAL;Remocao realizada apos ameaca a partir de processo de reintegracao de posse previsto a atingir 30 familias moradoras de um cortico localizado na regiao central da cidade de Sao Paulo;SAO PAULO;REPUBLICA;CENTRO;Denuncia via parceiros do Observatorio de Remocoes;SIM;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;30;;ZC;;Avenida Duque de Caxias, 826;-23.53623699;-46.64177209;;;;;;;;;;;;;;
JARDIM MONTE VERDE;29/09/2019;REMOCAO TOTAL;Comunidade localizada no Grajau, zona sul de Sao Paulo. Trata-se de uma area da CTEEP, que entrou com pedido de reintegracao de posse, removendo cerca de 400 familias. Apesar das articulacoes que foram feitas pelos movimentos e apoiadores das familias com o objetivo de solicitar um adiamento de prazo, o pedido nao foi atendido. Segundo relatos, uma ocupacao do entorno conseguiu acolher algumas familias, porem a maioria segue sem alternativa.;SAO PAULO;GRAJAU;SUL 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;CTEEP;;400;;;;Rua Guaracy Torres;-23.7603;-46.65757;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.facebook.com/2266917150206677/posts/2458936711004719?sfns=mo"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
SITIO SAO FRANCISCO;25/09/2019;REMOCAO TOTAL;Trata-se de uma ordem de reintegracao de posse da CDHU, que nao ofereceu nenhuma alternativa de atendimento para os atingidos.;GUARULHOS;;RMSP;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;CDHU;;75;;;;;-23.46089;-46.40205;;;;;;;;;;;;;;
FAZENDINHA;25/09/2019;REMOCAO TOTAL;Familias removidas sem nenhum atendimento em area publica.;SAO PAULO;IGUATEMI;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;;;30;;;;;-23.603783;-46.425184;;;;;;;;;;;;;;
